datetime,air_temperature,running_status,sonic_status,operation_mode,location_status,location,number_of_rods,sonic_pressure,rotation_pressure,pullup_pressure,pulldown_pressure,inclination_x,inclination_y,flushing_pressure,flushing_debit,depth,depth_raw,sonic_speed,rotation_speed,rotation_speed_duo,rotation_pressure_duo,G_force_z,G_force_x,G_force_y,date_time,sonic_frequency,torque,torque_duo,penetration_speed
35:27.7,18.2,started,started,Dynamic,no fix,"51.985602,6.051186",1,168.675,73.225,30.55,5.4,1.2,-1.3,0.019,0.3,0.75,0.75,8581.01,51.15,0,0,11.2759,6.5755,4.10992,35:27.7,143.01683333333332,1149.6325,0,3.061224489795921
35:28.0,18.2,started,started,Dynamic,no fix,"51.985602,6.051186",1,168.25,73.7,30.65,5.425,1.2,-1.3,0.019,0.3,0.76,0.76,8581.01,51.15,0,0,11.2578,6.38281,4.10992,35:28.0,143.01683333333332,1157.09,0,2.1739130434782625
35:28.2,18.2,started,started,Dynamic,no fix,"51.985602,6.051186",1,169.2,74.05,30.6,5.4,0.1,-1.3,0.012,0.3,0.77,0.77,8497.12,51.17,0,0,11.2578,6.38281,4.10992,35:28.2,141.61866666666668,1162.5849999999998,0,2.970297029702973
35:28.4,18.2,started,started,Dynamic,no fix,"51.985602,6.051186",1,169.275,74.175,30.2,5.4,0.1,1.4,0.012,0.319,0.78,0.78,8497.12,51.17,0,0,11.2578,6.38281,4.10992,35:28.4,141.61866666666668,1164.5475,0,2.9556650246305445
35:28.7,18.2,started,started,Dynamic,no fix,"51.985602,6.051186",1,168.7,75.025,29.85,5.4,0.1,1.4,0.012,0.319,0.79,0.79,8526.86,51.17,0,0,11.2578,6.38281,4.10992,35:28.7,142.11433333333335,1177.8925,0,2.2058823529411784
35:28.9,18.2,started,started,Dynamic,no fix,"51.985602,6.051186",1,170.2,75.4,30.2,5.4,0,1.4,0.012,0.319,0.8,0.8,8526.86,51.4,0,0,11.2578,6.38281,4.10992,35:28.9,142.11433333333335,1183.78,0,3.0150753768844245
35:29.1,18.2,started,started,Dynamic,no fix,"51.985602,6.051186",1,170.4,75.475,29.425,5.4,0,1.7,0.019,0.319,0.81,0.81,8526.86,51.4,0,0,11.2578,6.38281,4.10992,35:29.1,142.11433333333335,1184.9574999999998,0,2.898550724637684
35:29.4,18.2,started,started,Dynamic,no fix,"51.985602,6.051186",1,169.15,75.3,29.85,5.375,0,1.7,0.019,0.3,0.82,0.82,8550.72,51.24,0,0,11.2578,6.38281,4.10992,35:29.4,142.512,1182.2099999999998,0,2.150537634
35:29.6,18.2,started,started,Dynamic,no fix,"51.985602,6.051186",1,168.525,74.875,30.1,5.375,0,1.7,0.019,0.3,0.83,0.83,8550.72,51.24,0,0,11.2578,6.38281,4.10992,35:29.6,142.512,1175.5375,0,3.0456852791878197
35:29.8,18.2,started,started,Dynamic,no fix,"51.985602,6.051186",1,167.75,74.4,29.85,5.425,-0.5,1.7,0.019,0.3,0.84,0.84,8554.11,51.18,0,0,11.2578,6.38281,4.10992,35:29.8,142.5685,1168.08,0,3.061224489795921
35:30.0,18.2,started,started,Dynamic,no fix,"51.985602,6.051186",1,168.175,74.5,29.85,5.4,-0.5,-0.8,0.019,0.319,0.85,0.85,8554.11,51.18,0,0,11.2578,6.38281,4.10992,35:30.0,142.5685,1169.6499999999999,0,3.0456852791878197
35:30.3,18.2,started,started,Dynamic,no fix,"51.985602,6.051186",1,167.425,75.05,29.675,5.4,-0.5,-0.8,0.019,0.319,0.86,0.86,8647.54,44.14,0,0,11.2578,6.38281,4.10992,35:30.3,144.1256666666667,1178.2849999999999,0,2.054794520547947
35:30.5,18.2,started,started,Dynamic,no fix,"51.985602,6.051186",1,167.675,75.475,28.95,5.35,-0.1,-0.8,0.019,0.319,0.87,0.87,8647.54,44.14,0,0,11.2578,6.38281,4.10992,35:30.5,144.1256666666667,1184.9574999999998,0,3.0456852791878197
35:30.6,18.2,started,started,Dynamic,no fix,"51.985602,6.051186",1,168.025,75.65,29.1,5.4,-0.1,1.3,0.006,0.319,0.88,0.88,8647.54,44.14,0,0,11.2578,6.38281,4.10992,35:30.6,144.1256666666667,1187.705,0,3.061224489795921
35:31.0,18.2,started,started,Dynamic,no fix,"51.985602,6.051186",1,168.375,75.55,28.95,5.375,-0.1,1.3,0.006,0.319,0.89,0.89,8526.6,44.09,0,0,11.2578,6.38281,4.10992,35:31.0,142.11,1186.135,0,1.9047619047619064
35:31.1,18.2,started,started,Dynamic,no fix,"51.985602,6.051186",1,168.3,75.9,28.475,5.375,-0.1,1.3,0.006,0.319,0.9,0.9,8526.6,44.09,0,0,11.2578,6.38281,4.10992,35:31.1,142.11,1191.63,0,3.797468354430383
35:31.4,18.2,started,started,Dynamic,no fix,"51.985602,6.051186",1,168.55,77,28.45,5.375,-0.4,1.3,0.019,0.319,0.91,0.91,8573.94,43.96,0,0,11.2578,6.38281,4.10992,35:31.4,142.899,1208.8999999999999,0,2.4193548387096797
35:31.6,18.2,started,started,Dynamic,no fix,"51.985602,6.051186",1,170.3,77.725,28.65,5.375,-0.4,-0.8,0.019,0.319,0.92,0.92,8573.94,43.96,0,0,11.2578,6.38281,4.10992,35:31.6,142.899,1220.2824999999998,0,2.1978021978021998
35:31.8,18.2,started,started,Dynamic,no fix,"51.985602,6.051186",1,169.575,78.025,28.075,5.4,-0.4,-0.8,0.019,0.319,0.93,0.93,8619.65,51.41,0,0,11.2578,6.38281,4.10992,35:31.8,143.66083333333333,1224.9925,0,2.9268292682926855
35:32.1,18.2,started,started,Dynamic,no fix,"51.985602,6.051186",1,168.85,78.45,27.575,5.4,-0.7,-0.8,0.019,0.319,0.94,0.94,8619.65,51.41,0,0,11.2578,6.38281,4.10992,35:32.1,143.66083333333333,1231.665,0,2.5423728813559063
35:32.4,18.2,started,started,Dynamic,no fix,"51.985602,6.051186",1,169.775,79.5,27.5,5.375,-0.7,1,0.012,0.319,0.95,0.95,8539.63,51.36,0,0,11.2578,6.38281,4.10992,35:32.4,142.32716666666664,1248.1499999999999,0,2.027027027027029
35:32.6,18.2,started,started,Dynamic,no fix,"51.985602,6.051186",1,170.9,81.525,26.45,5.4,-0.7,1,0.012,0.319,0.96,0.96,8539.63,51.36,0,0,11.2578,6.38281,4.10992,35:32.6,142.32716666666664,1279.9425,0,2.739726027397263
